CNPJ;Nome;UF do sancionado;Motivo do impedimento;Órgão;Nº do Convênio
01.060.586/0001-42;FUNDACAO 21 DE ABRIL;DF;UTILIZOU OS RECURSOS EM DESACORDO C/PROG TRAB;Ministério do Turismo - Unidades com vínculo direto;414032
37.159.720/0001-04;FUNDACAO APOIO DESENVOLVIMENTO CIENTIF TECNOLOG SAUDE;DF;INSTAURACAO DE TOMADA DE CONTAS ESPECIAL;Ministério da Saúde - Unidades com vínculo direto;586846
37.159.720/0001-04;FUNDACAO APOIO DESENVOLVIMENTO CIENTIF TECNOLOG SAUDE;DF;NAO APRESENTACAO DE DOCUMENTACAO COMPLEMENTAR;Ministério da Saúde - Unidades com vínculo direto;406330
37.159.720/0001-04;FUNDACAO APOIO DESENVOLVIMENTO CIENTIF TECNOLOG SAUDE;DF;INSTAURACAO DE TOMADA DE CONTAS ESPECIAL;Ministério da Saúde - Unidades com vínculo direto;574018
37.159.720/0001-04;FUNDACAO APOIO DESENVOLVIMENTO CIENTIF TECNOLOG SAUDE;DF;INSTAURACAO DE TOMADA DE CONTAS ESPECIAL;Ministério da Saúde - Unidades com vínculo direto;586845
37.159.720/0001-04;FUNDACAO APOIO DESENVOLVIMENTO CIENTIF TECNOLOG SAUDE;DF;INSTAURACAO DE TOMADA DE CONTAS ESPECIAL;Ministério da Saúde - Unidades com vínculo direto;581558
37.159.720/0001-04;FUNDACAO APOIO DESENVOLVIMENTO CIENTIF TECNOLOG SAUDE;DF;TEVE A PRESTACAO DE CONTAS IMPUGNADA;Ministério da Saúde - Unidades com vínculo direto;581559
37.159.720/0001-04;FUNDACAO APOIO DESENVOLVIMENTO CIENTIF TECNOLOG SAUDE;DF;INSTAURACAO DE TOMADA DE CONTAS ESPECIAL;Ministério da Saúde - Unidades com vínculo direto;546723
37.159.720/0001-04;FUNDACAO APOIO DESENVOLVIMENTO CIENTIF TECNOLOG SAUDE;DF;INSTAURACAO DE TOMADA DE CONTAS ESPECIAL;Ministério da Saúde - Unidades com vínculo direto;533793
37.159.720/0001-04;FUNDACAO APOIO DESENVOLVIMENTO CIENTIF TECNOLOG SAUDE;DF;INSTAURACAO DE TOMADA DE CONTAS ESPECIAL;Ministério da Saúde - Unidades com vínculo direto;581557
37.159.720/0001-04;FUNDACAO APOIO DESENVOLVIMENTO CIENTIF TECNOLOG SAUDE;DF;INSTAURACAO DE TOMADA DE CONTAS ESPECIAL;Ministério da Saúde - Unidades com vínculo direto;581556
73.340.655/0001-82;FUNDACAO APOIO REC GENET BIOT DALMO CATAULI GIACOMETTI;DF;MOTIVO NÃO ESPECIFICADO;Ministério da Ciência, Tecnologia, Inovações e Comunicações - Unidades com vínculo direto;429949
73.340.655/0001-82;FUNDACAO APOIO REC GENET BIOT DALMO CATAULI GIACOMETTI;DF;MOTIVO NÃO ESPECIFICADO;Ministério da Ciência, Tecnologia, Inovações e Comunicações - Unidades com vínculo direto;432969
73.340.655/0001-82;FUNDACAO APOIO REC GENET BIOT DALMO CATAULI GIACOMETTI;DF;MOTIVO NÃO ESPECIFICADO;Ministério da Ciência, Tecnologia, Inovações e Comunicações - Unidades com vínculo direto;428305
73.340.655/0001-82;FUNDACAO APOIO REC GENET BIOT DALMO CATAULI GIACOMETTI;DF;DESCUMPRIMENTO DE CLAUSULA/CONDICAO DO INSTR.;Ministério do Meio Ambiente - Unidades com vínculo direto;454761
73.340.655/0001-82;FUNDACAO APOIO REC GENET BIOT DALMO CATAULI GIACOMETTI;DF;NAO APRESENTACAO DA PRESTACAO DE CONTAS;Ministério da Agricultura, Pecuária e Abastecimento - Unidades com vínculo direto;419355
73.340.655/0001-82;FUNDACAO APOIO REC GENET BIOT DALMO CATAULI GIACOMETTI;DF;NAO APRESENTACAO DA PRESTACAO DE CONTAS;Ministério da Agricultura, Pecuária e Abastecimento - Unidades com vínculo direto;405662
73.340.655/0001-82;FUNDACAO APOIO REC GENET BIOT DALMO CATAULI GIACOMETTI;DF;NAO APRESENTACAO DA PRESTACAO DE CONTAS;Ministério da Agricultura, Pecuária e Abastecimento - Unidades com vínculo direto;413982
73.340.655/0001-82;FUNDACAO APOIO REC GENET BIOT DALMO CATAULI GIACOMETTI;DF;NAO APRESENTACAO DE DOCUMENTACAO COMPLEMENTAR;Ministério da Agricultura, Pecuária e Abastecimento - Unidades com vínculo direto;404757
73.340.655/0001-82;FUNDACAO APOIO REC GENET BIOT DALMO CATAULI GIACOMETTI;DF;NAO APRESENTACAO DA PRESTACAO DE CONTAS;Ministério da Agricultura, Pecuária e Abastecimento - Unidades com vínculo direto;455484
73.340.655/0001-82;FUNDACAO APOIO REC GENET BIOT DALMO CATAULI GIACOMETTI;DF;NAO APRESENTACAO DA PRESTACAO DE CONTAS;Ministério da Agricultura, Pecuária e Abastecimento - Unidades com vínculo direto;405137
73.340.655/0001-82;FUNDACAO APOIO REC GENET BIOT DALMO CATAULI GIACOMETTI;DF;INSTAURACAO DE TOMADA DE CONTAS ESPECIAL;Ministério da Agricultura, Pecuária e Abastecimento - Unidades com vínculo direto;300111
73.340.655/0001-82;FUNDACAO APOIO REC GENET BIOT DALMO CATAULI GIACOMETTI;DF;INSTAURACAO DE TOMADA DE CONTAS ESPECIAL;Ministério da Agricultura, Pecuária e Abastecimento - Unidades com vínculo direto;365628
37.993.037/0001-78;FUNDACAO ATHOS BULCAO;DF;MOTIVO NÃO ESPECIFICADO;Ministério da Cidadania - Unidades com vínculo direto;704592
37.993.037/0001-78;FUNDACAO ATHOS BULCAO;DF;MOTIVO NÃO ESPECIFICADO;Ministério da Cidadania - Unidades com vínculo direto;748781
37.993.037/0001-78;FUNDACAO ATHOS BULCAO;DF;IRREGULARIDADE NA EXECUCAO FINANCEIRA;Ministério da Cidadania - Unidades com vínculo direto;635274
04.340.490/0001-26;FUNDACAO CALDAS NOVAS CONVENTION & VISITORS BUREAU;GO;INSTAURACAO DE TOMADA DE CONTAS ESPECIAL;Ministério do Turismo - Unidades com vínculo direto;567605
27.414.879/0001-74;FUNDACAO CECILIANO ABEL DE ALMEIDA;ES;INSTAURACAO DE TOMADA DE CONTAS ESPECIAL;Ministério da Ciência, Tecnologia, Inovações e Comunicações - Unidades com vínculo direto;560488
27.414.879/0001-74;FUNDACAO CECILIANO ABEL DE ALMEIDA;ES;ATRASO NA ENTREGA DA PRESTACAO DE CONTAS;Ministério da Ciência, Tecnologia, Inovações e Comunicações - Unidades com vínculo direto;672627
05.428.863/0001-88;FUNDACAO CULTURAL SANTA EDWIGES;DF;NAO APRESENTACAO DE DOCUMENTACAO COMPLEMENTAR;Ministério do Turismo - Unidades com vínculo direto;629347
04.606.955/0001-48;FUNDACAO DE DESENVOLVIMENTO RURAL - FUNDACAO RURAL;DF;IRREGULARIDADE NA EXECUCAO FINANCEIRA;Ministério da Agricultura, Pecuária e Abastecimento - Unidades com vínculo direto;487938
74.180.340/0001-88;FUNDACAO DE ESTUDOS E PESQUISAS EM ADMINISTRACAO;DF;INSTAURACAO DE TOMADA DE CONTAS ESPECIAL;Ministério da Agricultura, Pecuária e Abastecimento - Unidades com vínculo direto;597595
74.180.340/0001-88;FUNDACAO DE ESTUDOS E PESQUISAS EM ADMINISTRACAO;DF;IRREGULARIDADE NA EXECUCAO FISICA DO OBJETO;Ministério da Mulher, Família e Direitos Humanos - Unidades com vínculo direto;576567
74.180.340/0001-88;FUNDACAO DE ESTUDOS E PESQUISAS EM ADMINISTRACAO;DF;INSTAURACAO DE TOMADA DE CONTAS ESPECIAL;Ministério da Saúde - Unidades com vínculo direto;556729
74.180.340/0001-88;FUNDACAO DE ESTUDOS E PESQUISAS EM ADMINISTRACAO;DF;INSTAURACAO DE TOMADA DE CONTAS ESPECIAL;Ministério da Saúde - Unidades com vínculo direto;556728
74.180.340/0001-88;FUNDACAO DE ESTUDOS E PESQUISAS EM ADMINISTRACAO;DF;INSTAURACAO DE TOMADA DE CONTAS ESPECIAL;Ministério da Saúde - Unidades com vínculo direto;556726
74.180.340/0001-88;FUNDACAO DE ESTUDOS E PESQUISAS EM ADMINISTRACAO;DF;TEVE A PRESTACAO DE CONTAS IMPUGNADA;Ministério da Saúde - Unidades com vínculo direto;586849
74.180.340/0001-88;FUNDACAO DE ESTUDOS E PESQUISAS EM ADMINISTRACAO;DF;TEVE A PRESTACAO DE CONTAS IMPUGNADA;Ministério da Saúde - Unidades com vínculo direto;586847
74.180.340/0001-88;FUNDACAO DE ESTUDOS E PESQUISAS EM ADMINISTRACAO;DF;TEVE A PRESTACAO DE CONTAS IMPUGNADA;Ministério da Saúde - Unidades com vínculo direto;556727
74.180.340/0001-88;FUNDACAO DE ESTUDOS E PESQUISAS EM ADMINISTRACAO;DF;INSCRICAO POR DECISAO DO T.C.U.;Ministério da Saúde - Unidades com vínculo direto;546728
74.180.340/0001-88;FUNDACAO DE ESTUDOS E PESQUISAS EM ADMINISTRACAO;DF;INSTAURACAO DE TOMADA DE CONTAS ESPECIAL;Ministério da Saúde - Unidades com vínculo direto;546726
74.180.340/0001-88;FUNDACAO DE ESTUDOS E PESQUISAS EM ADMINISTRACAO;DF;INSTAURACAO DE TOMADA DE CONTAS ESPECIAL;Ministério da Saúde - Unidades com vínculo direto;586848
03.151.583/0001-40;FUNDACAO DE GESTAO E INOVACAO;DF;UTILIZOU OS RECURSOS EM DESACORDO C/PROG TRAB;Ministério dos Transportes, Portos e Aviação Civil - Unidades com vínculo direto;553602
03.151.583/0001-40;FUNDACAO DE GESTAO E INOVACAO;DF;MOTIVO NÃO ESPECIFICADO;Ministério da Ciência, Tecnologia, Inovações e Comunicações - Unidades com vínculo direto;532046
03.151.583/0001-40;FUNDACAO DE GESTAO E INOVACAO;DF;MOTIVO NÃO ESPECIFICADO;Ministério da Ciência, Tecnologia, Inovações e Comunicações - Unidades com vínculo direto;507598
03.151.583/0001-40;FUNDACAO DE GESTAO E INOVACAO;DF;MOTIVO NÃO ESPECIFICADO;Ministério da Ciência, Tecnologia, Inovações e Comunicações - Unidades com vínculo direto;511130
03.151.583/0001-40;FUNDACAO DE GESTAO E INOVACAO;DF;MOTIVO NÃO ESPECIFICADO;Ministério da Ciência, Tecnologia, Inovações e Comunicações - Unidades com vínculo direto;426414
03.151.583/0001-40;FUNDACAO DE GESTAO E INOVACAO;DF;MOTIVO NÃO ESPECIFICADO;Ministério da Ciência, Tecnologia, Inovações e Comunicações - Unidades com vínculo direto;562510
03.151.583/0001-40;FUNDACAO DE GESTAO E INOVACAO;DF;MOTIVO NÃO ESPECIFICADO;Ministério da Ciência, Tecnologia, Inovações e Comunicações - Unidades com vínculo direto;517674
03.151.583/0001-40;FUNDACAO DE GESTAO E INOVACAO;DF;DESCUMPRIMENTO DE CLAUSULA/CONDICAO DO INSTR.;Ministério da Ciência, Tecnologia, Inovações e Comunicações - Unidades com vínculo direto;511133
03.151.583/0001-40;FUNDACAO DE GESTAO E INOVACAO;DF;DESCUMPRIMENTO DE CLAUSULA/CONDICAO DO INSTR.;Ministério da Ciência, Tecnologia, Inovações e Comunicações - Unidades com vínculo direto;511768
03.151.583/0001-40;FUNDACAO DE GESTAO E INOVACAO;DF;MOTIVO NÃO ESPECIFICADO;Ministério da Ciência, Tecnologia, Inovações e Comunicações - Unidades com vínculo direto;473008
03.151.583/0001-40;FUNDACAO DE GESTAO E INOVACAO;DF;MOTIVO NÃO ESPECIFICADO;Ministério da Ciência, Tecnologia, Inovações e Comunicações - Unidades com vínculo direto;465916
03.151.583/0001-40;FUNDACAO DE GESTAO E INOVACAO;DF;DESCUMPRIMENTO DE CLAUSULA/CONDICAO DO INSTR.;Ministério da Ciência, Tecnologia, Inovações e Comunicações - Unidades com vínculo direto;401361
03.151.583/0001-40;FUNDACAO DE GESTAO E INOVACAO;DF;ATRASO NA ENTREGA DA PRESTACAO DE CONTAS;Ministério da Educação - Unidades com vínculo direto;486546
03.151.583/0001-40;FUNDACAO DE GESTAO E INOVACAO;DF;ATRASO NA ENTREGA DA PRESTACAO DE CONTAS;Ministério da Educação - Unidades com vínculo direto;589753
03.151.583/0001-40;FUNDACAO DE GESTAO E INOVACAO;DF;NAO APRESENTACAO DA PRESTACAO DE CONTAS;Ministério do Meio Ambiente - Unidades com vínculo direto;579055
03.151.583/0001-40;FUNDACAO DE GESTAO E INOVACAO;DF;IRREGULARIDADE NA EXECUCAO FIS. E FINANCEIRA;Ministério do Turismo - Unidades com vínculo direto;592733
03.151.583/0001-40;FUNDACAO DE GESTAO E INOVACAO;DF;IRREGULARIDADE NA EXECUCAO FINANCEIRA;Ministério do Desenvolvimento Regional - Unidades com vínculo direto;523496
03.151.583/0001-40;FUNDACAO DE GESTAO E INOVACAO;DF;NAO APRESENTACAO DA PRESTACAO DE CONTAS;Ministério do Desenvolvimento Regional - Unidades com vínculo direto;506122
03.151.583/0001-40;FUNDACAO DE GESTAO E INOVACAO;DF;INSTAURACAO DE TOMADA DE CONTAS ESPECIAL;Ministério da Agricultura, Pecuária e Abastecimento - Unidades com vínculo direto;473046
03.151.583/0001-40;FUNDACAO DE GESTAO E INOVACAO;DF;TOMADA DE CONTAS BAIXADA PELO TCU;Ministério da Agricultura, Pecuária e Abastecimento - Unidades com vínculo direto;430315
03.151.583/0001-40;FUNDACAO DE GESTAO E INOVACAO;DF;INSTAURACAO DE TOMADA DE CONTAS ESPECIAL;Ministério da Agricultura, Pecuária e Abastecimento - Unidades com vínculo direto;378849
03.151.583/0001-40;FUNDACAO DE GESTAO E INOVACAO;DF;INSTAURACAO DE TOMADA DE CONTAS ESPECIAL;Ministério da Agricultura, Pecuária e Abastecimento - Unidades com vínculo direto;403536
03.151.583/0001-40;FUNDACAO DE GESTAO E INOVACAO;DF;INSTAURACAO DE TOMADA DE CONTAS ESPECIAL;Ministério da Agricultura, Pecuária e Abastecimento - Unidades com vínculo direto;429587
03.151.583/0001-40;FUNDACAO DE GESTAO E INOVACAO;DF;TEVE A PRESTACAO DE CONTAS IMPUGNADA;Ministério da Mulher, Família e Direitos Humanos - Unidades com vínculo direto;503666
03.151.583/0001-40;FUNDACAO DE GESTAO E INOVACAO;DF;TEVE A PRESTACAO DE CONTAS IMPUGNADA;Ministério da Mulher, Família e Direitos Humanos - Unidades com vínculo direto;510759
03.151.583/0001-40;FUNDACAO DE GESTAO E INOVACAO;DF;NAO APRESENTACAO DE DOCUMENTACAO COMPLEMENTAR;Ministério da Saúde - Unidades com vínculo direto;509050
03.151.583/0001-40;FUNDACAO DE GESTAO E INOVACAO;DF;INSTAURACAO DE TOMADA DE CONTAS ESPECIAL;Ministério da Saúde - Unidades com vínculo direto;618144
03.151.583/0001-40;FUNDACAO DE GESTAO E INOVACAO;DF;IRREGULARIDADE NA EXECUCAO FISICA DO OBJETO;Ministério da Saúde - Unidades com vínculo direto;528661
03.151.583/0001-40;FUNDACAO DE GESTAO E INOVACAO;DF;TEVE A PRESTACAO DE CONTAS IMPUGNADA;Ministério da Saúde - Unidades com vínculo direto;618143
04.677.809/0001-03;FUNDACAO EBER TEIXEIRA FIGUEIREDO;ES;IRREGULARIDADE NA EXECUCAO FINANCEIRA;Ministério da Cidadania - Unidades com vínculo direto;599168
24.858.169/0001-45;FUNDACAO ECOLOGICA DE MINEIROS;GO;NAO APRESENTACAO DA PRESTACAO DE CONTAS;Ministério do Meio Ambiente - Unidades com vínculo direto;431702
00.615.475/0001-92;FUNDACAO EDUCACIONAL ANTONIO DADALTO;ES;IRREGULARIDADE NA EXECUCAO FINANCEIRA;Ministério da Justiça e Segurança Pública - Unidades com vínculo direto;539245
00.615.475/0001-92;FUNDACAO EDUCACIONAL ANTONIO DADALTO;ES;IRREGULARIDADE NA EXECUCAO FINANCEIRA;Ministério da Justiça e Segurança Pública - Unidades com vínculo direto;515515
04.048.066/0001-02;FUNDACAO EDUCACIONAL MONTE BELO;ES;NAO APRESENTACAO DE DOCUMENTACAO COMPLEMENTAR;Ministério da Economia - Unidades com vínculo direto;600843
02.616.238/0001-71;FUNDACAO ESPIRITO SANTO TURISMO & EVENTOS;ES;IRREGULARIDADE NA EXECUCAO FIS. E FINANCEIRA;Ministério do Turismo - Unidades com vínculo direto;723817
00.531.541/0001-46;FUNDACAO FRANCO BRASILEIRA DE PESQUISA E DESENVOLVIMENTO;DF;IRREGULARIDADE NA EXECUCAO FINANCEIRA;Ministério do Desenvolvimento Regional - Unidades com vínculo direto;406421
27.503.754/0001-10;FUNDACAO HOSPITALAR SOCIAL RURAL DE SAO GABRIEL;ES;NAO APRESENTACAO DA PRESTACAO DE CONTAS;Ministério da Saúde - Unidades com vínculo direto;791960
86.819.323/0001-27;FUNDACAO PRO CERRADO;GO;MOTIVO NÃO ESPECIFICADO;Ministério da Economia - Unidades com vínculo direto;726075
86.819.323/0001-27;FUNDACAO PRO CERRADO;GO;MOTIVO NÃO ESPECIFICADO;Ministério da Economia - Unidades com vínculo direto;726100
86.819.323/0001-27;FUNDACAO PRO CERRADO;GO;MOTIVO NÃO ESPECIFICADO;Ministério da Economia - Unidades com vínculo direto;726071
86.819.323/0001-27;FUNDACAO PRO CERRADO;GO;MOTIVO NÃO ESPECIFICADO;Ministério da Economia - Unidades com vínculo direto;743309
31.796.410/0001-14;FUNDACAO PROMAR;ES;IRREGULARIDADE NA EXECUCAO FINANCEIRA;Ministério do Meio Ambiente - Unidades com vínculo direto;523558
03.709.020/0001-24;FUNDACAO SONIA IVAR;DF;IRREGULARIDADE NA EXECUCAO FINANCEIRA;Ministério da Cidadania - Unidades com vínculo direto;585776
03.709.020/0001-24;FUNDACAO SONIA IVAR;DF;IRREGULARIDADE NA EXECUCAO FINANCEIRA;Ministério da Cidadania - Unidades com vínculo direto;554438
03.709.020/0001-24;FUNDACAO SONIA IVAR;DF;NAO CUMPRIU COM OS RECURSOS DA CONTRAPARTIDA;Ministério da Cidadania - Unidades com vínculo direto;619578
03.218.102/0001-76;FUNDACAO UNIVERSA;DF;MOTIVO NÃO ESPECIFICADO;Ministério da Ciência, Tecnologia, Inovações e Comunicações - Unidades com vínculo direto;663517
03.218.102/0001-76;FUNDACAO UNIVERSA;DF;MOTIVO NÃO ESPECIFICADO;Ministério do Turismo - Unidades com vínculo direto;702306
03.218.102/0001-76;FUNDACAO UNIVERSA;DF;MOTIVO NÃO ESPECIFICADO;Ministério do Turismo - Unidades com vínculo direto;723828
03.218.102/0001-76;FUNDACAO UNIVERSA;DF;INSTAURACAO DE TOMADA DE CONTAS ESPECIAL;Ministério da Mulher, Família e Direitos Humanos - Unidades com vínculo direto;709673
03.218.102/0001-76;FUNDACAO UNIVERSA;DF;ESTA INSCRITO NO CADIN DO BACEN;Ministério da Mulher, Família e Direitos Humanos - Unidades com vínculo direto;707380
03.652.447/0001-33;FUNDACAO UNIVERSITARIA DE APOIO INTEGRAL AO SER;GO;MOTIVO NÃO ESPECIFICADO;Ministério da Ciência, Tecnologia, Inovações e Comunicações - Unidades com vínculo direto;500726
04.471.278/0001-06;GERA VIDA IGREJA CRISTA;DF;INSTAURACAO DE TOMADA DE CONTAS ESPECIAL;Ministério da Cidadania - Unidades com vínculo direto;572773
27.565.464/0001-00;GREMIO R ESCOLA DE SAMBA INDEPENDENTES DE SAO TORQUATO;ES;NAO APRESENTACAO DE DOCUMENTACAO COMPLEMENTAR;Ministério do Turismo - Unidades com vínculo direto;595672
27.743.871/0001-51;GREMIO RECREATIVO E ESCOLA DE SAMBA IMPERATRIZ DO FORTE;ES;NAO APRESENTACAO DE DOCUMENTACAO COMPLEMENTAR;Ministério do Turismo - Unidades com vínculo direto;570176
04.085.774/0001-13;GRUPO CULTURAL AZULIM;DF;MOTIVO NÃO ESPECIFICADO;Ministério da Cidadania - Unidades com vínculo direto;725736
06.078.665/0001-02;GRUPO CULTURAL DE DANCA JUNINA MALA VEIA;DF;NAO APRESENTACAO DE DOCUMENTACAO COMPLEMENTAR;Ministério da Cidadania - Unidades com vínculo direto;638153
06.078.665/0001-02;GRUPO CULTURAL DE DANCA JUNINA MALA VEIA;DF;MOTIVO NÃO ESPECIFICADO;Ministério da Cidadania - Unidades com vínculo direto;711024
37.116.878/0001-05;GRUPO DE APOIO A PREVENCAO A AIDS;DF;NAO APRESENTACAO DA PRESTACAO DE CONTAS;Ministério da Mulher, Família e Direitos Humanos - Unidades com vínculo direto;577453
04.132.160/0001-45;GRUPO DE MULHERES NEGRAS MALUNGA;GO;ESTA INSCRITO NO CADIN DO BACEN;Ministério da Mulher, Família e Direitos Humanos - Unidades com vínculo direto;708377
37.113.842/0001-60;GRUPO DE TRABALHO AMAZONICO GTA;DF;NAO APRESENTACAO DA PRESTACAO DE CONTAS;Ministério da Cidadania - Unidades com vínculo direto;524402
37.113.842/0001-60;GRUPO DE TRABALHO AMAZONICO GTA;DF;UTILIZOU OS RECURSOS EM DESACORDO C/PROG TRAB;Ministério da Cidadania - Unidades com vínculo direto;524400
37.113.842/0001-60;GRUPO DE TRABALHO AMAZONICO GTA;DF;NAO APRESENTACAO DE DOCUMENTACAO COMPLEMENTAR;Ministério do Meio Ambiente - Unidades com vínculo direto;493834
37.113.842/0001-60;GRUPO DE TRABALHO AMAZONICO GTA;DF;INSTAURACAO DE TOMADA DE CONTAS ESPECIAL;Ministério do Desenvolvimento Regional - Unidades com vínculo direto;514181
37.113.842/0001-60;GRUPO DE TRABALHO AMAZONICO GTA;DF;NAO APRESENTACAO DA PRESTACAO DE CONTAS;Ministério da Agricultura, Pecuária e Abastecimento - Unidades com vínculo direto;520518
37.113.842/0001-60;GRUPO DE TRABALHO AMAZONICO GTA;DF;INSTAURACAO DE TOMADA DE CONTAS ESPECIAL;Ministério da Agricultura, Pecuária e Abastecimento - Unidades com vínculo direto;573783
37.113.842/0001-60;GRUPO DE TRABALHO AMAZONICO GTA;DF;NAO APRESENTOU O RELATORIO FISICO-FINANCEIRO;Ministério da Agricultura, Pecuária e Abastecimento - Unidades com vínculo direto;537222
37.113.842/0001-60;GRUPO DE TRABALHO AMAZONICO GTA;DF;NAO APRESENTACAO DA PRESTACAO DE CONTAS;Ministério da Agricultura, Pecuária e Abastecimento - Unidades com vínculo direto;537243
37.113.842/0001-60;GRUPO DE TRABALHO AMAZONICO GTA;DF;NAO APRESENTACAO DA PRESTACAO DE CONTAS;Ministério da Agricultura, Pecuária e Abastecimento - Unidades com vínculo direto;542977
01.101.595/0001-34;GRUPO ESTRUTURACAO GRUPO HOMOSSEXUAL DE BRASILIA GE;DF;NAO APRESENTACAO DA PRESTACAO DE CONTAS;Ministério da Cidadania - Unidades com vínculo direto;527360
01.101.595/0001-34;GRUPO ESTRUTURACAO GRUPO HOMOSSEXUAL DE BRASILIA GE;DF;INSTAURACAO DE TOMADA DE CONTAS ESPECIAL;Ministério da Mulher, Família e Direitos Humanos - Unidades com vínculo direto;527368
01.101.595/0001-34;GRUPO ESTRUTURACAO GRUPO HOMOSSEXUAL DE BRASILIA GE;DF;NAO APRESENTACAO DA PRESTACAO DE CONTAS;Ministério da Mulher, Família e Direitos Humanos - Unidades com vínculo direto;538511
04.371.114/0001-07;GRUPO QUADRILHA JUNINA GALERA DOS MATUTOS;DF;NAO APRESENTACAO DA PRESTACAO DE CONTAS;Ministério da Cidadania - Unidades com vínculo direto;502219
04.132.515/0001-04;IBESP INSTITUTO BRASILEIRO DE ESTUDOS PESQUISAS E DESENVOLVIMENTO SOCIAL E TECNOLOGICO;DF;INSTAURACAO DE TOMADA DE CONTAS ESPECIAL;Ministério da Agricultura, Pecuária e Abastecimento - Unidades com vínculo direto;430309
04.132.515/0001-04;IBESP INSTITUTO BRASILEIRO DE ESTUDOS PESQUISAS E DESENVOLVIMENTO SOCIAL E TECNOLOGICO;DF;NAO APRESENTACAO DA PRESTACAO DE CONTAS;Ministério da Agricultura, Pecuária e Abastecimento - Unidades com vínculo direto;470872
07.819.424/0001-21;IBRACI - INSTITUTO BRASIL CIDADAO;DF;MOTIVO NÃO ESPECIFICADO;Ministério da Ciência, Tecnologia, Inovações e Comunicações - Unidades com vínculo direto;748560
03.666.859/0001-22;IBRAD - INSTITUTO BRASILEIRO DE ADM. PARA O DESENVOLVIMENTO;DF;NAO APRESENTACAO DE DOCUMENTACAO COMPLEMENTAR;Ministério da Cidadania - Unidades com vínculo direto;525770
03.666.859/0001-22;IBRAD - INSTITUTO BRASILEIRO DE ADM. PARA O DESENVOLVIMENTO;DF;NAO APRESENTACAO DE DOCUMENTACAO COMPLEMENTAR;Ministério da Cidadania - Unidades com vínculo direto;528395
03.666.859/0001-22;IBRAD - INSTITUTO BRASILEIRO DE ADM. PARA O DESENVOLVIMENTO;DF;NAO APRESENTACAO DE DOCUMENTACAO COMPLEMENTAR;Ministério da Cidadania - Unidades com vínculo direto;513605
03.666.859/0001-22;IBRAD - INSTITUTO BRASILEIRO DE ADM. PARA O DESENVOLVIMENTO;DF;INSTAURACAO DE TOMADA DE CONTAS ESPECIAL;Ministério da Mulher, Família e Direitos Humanos - Unidades com vínculo direto;576564
02.148.717/0001-00;IDAS - INSTITUTO DE DESENVOLVIMENTO AMBIENTAL E SOCIAL COMPANHEIROS DA TERRA;DF;ATRASO NA ENTREGA DA PRESTACAO DE CONTAS;Ministério do Meio Ambiente - Unidades com vínculo direto;332429
07.177.432/0001-11;IEC INSTITUTO EDUCAR E CRESCER;DF;MOTIVO NÃO ESPECIFICADO;Ministério da Cidadania - Unidades com vínculo direto;735783
07.177.432/0001-11;IEC INSTITUTO EDUCAR E CRESCER;DF;MOTIVO NÃO ESPECIFICADO;Ministério da Cidadania - Unidades com vínculo direto;741780
07.177.432/0001-11;IEC INSTITUTO EDUCAR E CRESCER;DF;MOTIVO NÃO ESPECIFICADO;Ministério da Cidadania - Unidades com vínculo direto;731985
07.177.432/0001-11;IEC INSTITUTO EDUCAR E CRESCER;DF;NAO APRESENTACAO DE DOCUMENTACAO COMPLEMENTAR;Ministério do Turismo - Unidades com vínculo direto;632057
07.177.432/0001-11;IEC INSTITUTO EDUCAR E CRESCER;DF;IRREGULARIDADE NA EXECUCAO FISICA DO OBJETO;Ministério do Turismo - Unidades com vínculo direto;629933
07.177.432/0001-11;IEC INSTITUTO EDUCAR E CRESCER;DF;MOTIVO NÃO ESPECIFICADO;Ministério do Turismo - Unidades com vínculo direto;705097
07.177.432/0001-11;IEC INSTITUTO EDUCAR E CRESCER;DF;MOTIVO NÃO ESPECIFICADO;Ministério do Turismo - Unidades com vínculo direto;701485
07.177.432/0001-11;IEC INSTITUTO EDUCAR E CRESCER;DF;MOTIVO NÃO ESPECIFICADO;Ministério do Turismo - Unidades com vínculo direto;705070
07.177.432/0001-11;IEC INSTITUTO EDUCAR E CRESCER;DF;MOTIVO NÃO ESPECIFICADO;Ministério do Turismo - Unidades com vínculo direto;736898
07.177.432/0001-11;IEC INSTITUTO EDUCAR E CRESCER;DF;MOTIVO NÃO ESPECIFICADO;Ministério do Turismo - Unidades com vínculo direto;703278
07.177.432/0001-11;IEC INSTITUTO EDUCAR E CRESCER;DF;MOTIVO NÃO ESPECIFICADO;Ministério do Turismo - Unidades com vínculo direto;703212
07.177.432/0001-11;IEC INSTITUTO EDUCAR E CRESCER;DF;MOTIVO NÃO ESPECIFICADO;Ministério do Turismo - Unidades com vínculo direto;705091
07.177.432/0001-11;IEC INSTITUTO EDUCAR E CRESCER;DF;MOTIVO NÃO ESPECIFICADO;Ministério do Turismo - Unidades com vínculo direto;728225
07.177.432/0001-11;IEC INSTITUTO EDUCAR E CRESCER;DF;MOTIVO NÃO ESPECIFICADO;Ministério do Turismo - Unidades com vínculo direto;703335
07.177.432/0001-11;IEC INSTITUTO EDUCAR E CRESCER;DF;MOTIVO NÃO ESPECIFICADO;Ministério do Turismo - Unidades com vínculo direto;703293
